Country,Year,House Price Index,Rent Index,Affordability Ratio,Mortgage Rate (%),Inflation Rate (%),GDP Growth (%),Population Growth (%),Urbanization Rate (%),Construction Index
China,2020,99.06877206636663,52.55847674936664,7.248602505989993,4.324205666313082,0.9271061562842904,4.204220933560085,0.5865109216180966,75.7317080798274,105.26101975505824
Canada,2020,112.32029320207552,86.31534352203562,9.3271706300566,3.31814801189647,6.8165835376862445,5.69957835953689,-0.1187619646112254,74.91745517677157,94.07026478534158
Germany,2015,160.93611554785136,106.70793762754266,10.803650867220934,6.066202762782357,3.823725592596096,2.012130357497597,1.794033126383713,79.49891792333295,126.15735018061628
Russia,2023,84.1572859050392,60.38402406734622,11.879671106629624,6.325593482180228,0.5321098760736624,5.614494283385912,1.236919782354251,86.03754883560066,106.37918845070872
South Korea,2023,149.74714616692836,97.60985402322105,8.567502403936658,5.263583197788206,1.530933184404979,5.046966073591428,2.051452347108312,60.87741849103678,136.06534004518102
Brazil,2020,149.62887758781395,73.79124746376463,9.522900943758852,1.826781703994712,2.549387195898967,2.3159303390026977,1.7675310769363723,69.5625750879621,120.07131011496072
Spain,2024,100.93493233367104,75.93304719539674,7.360706866719192,4.59127385765148,2.897938657203521,1.7002777290651832,1.616148283468148,61.10049608671794,90.19495554752166
Sweden,2015,111.13076991560035,92.72336483176429,9.445356068008742,2.8631200036676687,3.188069159914785,-1.0249112533044196,-0.3659772766286189,80.43353561894949,84.51506781565016
Sweden,2019,146.75498992914703,56.68747196842677,8.614733922089158,3.758838393686146,4.312955010640582,-0.6558863380410926,1.5790581073046377,85.88391232629685,87.33918400726205
France,2020,169.55232284962003,77.24411751139142,3.097538863322685,6.026909882096319,1.093363399109868,0.5545091007233189,2.3252168846778174,88.51821440812668,115.87503104986288
Spain,2021,169.6788409906012,83.17731481840107,9.008019646689243,2.361599356008149,1.74987862225636,-1.673051069868169,-0.4087272792474241,68.35771017095875,84.16083874213975
Switzerland,2017,179.24835021583752,114.89006775470068,7.859614172525037,5.710166471882106,3.8862268522682735,2.9886855040220777,-0.6880644875939419,82.65811261490424,80.21707869081878
